"","tax_year","prop_income","prop","relative_avg_income","ts"
"83",2013,0.316659557137227,0.364356435643564,0.869092806273368,"Top 0.001"
"84",2014,0.286081838725424,0.304518664047151,0.939455844588649,"Top 0.001"
"85",2015,0.251849823717757,0.280701754385965,0.897214996994509,"Top 0.001"
"86",2016,0.213536769603943,0.259187620889749,0.823869476755513,"Top 0.001"
"87",2017,0.294521922211145,0.36468330134357,0.80761011301056,"Top 0.001"
"88",2018,0.320348647144729,0.35171102661597,0.910829126476364,"Top 0.001"
"89",2000,NA,0.0757238890879926,NA,"all"
"90",2001,NA,0.0797946095811285,NA,"all"
"91",2002,NA,0.0827987226150791,NA,"all"
"92",2003,NA,0.0851796060055003,NA,"all"
"93",2004,NA,0.0882968110188213,NA,"all"
"94",2005,NA,0.0929490377653523,NA,"all"
"95",2006,NA,0.0999063997021443,NA,"all"
"96",2007,NA,0.105299765498723,NA,"all"
"97",2008,NA,0.110347005311446,NA,"all"
"98",2009,NA,0.113635351466293,NA,"all"
"99",2010,NA,0.11612415715195,NA,"all"
"100",2011,NA,0.121960832008899,NA,"all"
"101",2012,NA,0.123707108049337,NA,"all"
"102",2013,NA,0.12452766800969,NA,"all"
"103",2014,NA,0.129344170478991,NA,"all"
"104",2015,NA,0.132707366115152,NA,"all"
"105",2016,NA,0.140812538012687,NA,"all"
"106",2017,NA,0.143281462386476,NA,"all"
"107",2018,NA,0.141661729209413,NA,"all"
